sachok.ru;nes.ru;specialist.ru/;mifp.ru;improvement.ru;ecsocman.edu.ru/;hse.spb.ru;rsci.ru;students.ru;grabli.net;itexpert.ru;examen.ru/;hrm.ru;mrenglish.ru/;law.edu.ru/;intuit.ru;mephi.ru/;vusnet.ru/;mfua.ru;sinergi.ru;nesterova.ru/;college.ru;miem.edu.ru;mpei.ru;dkmpei.ru;tests.specialist.ru/;mglu.by.ru/;lingua.ru;anriintern.com;languagelink.ru/index.htm;english.language.ru;jurfak.spb.ru;miit.ru;trainings.ru;skpk.hse.ru;academy.ru;redcenter.ru;mirbis.ru;sinerghia.ru;ipbr.ru/;englishfirst.ru/;sserussia.org;seminars.ru;pmexpert.ru;hi-edu.ru/;psu.ru;psbatishev.narod.ru;e-ducate.ru;helpdissertation.ru;mgsu.ru;unn.ru;msses.ru;e-education.ru;forum.mifp.ru;compkursy.ru/;liberal.ru;eoi.ru/;citycat.ru/iq/;tisbi.ru;KURSY.ru/;iile.ru;sapr.mgsu.ru;yspu.yar.ru;mpu-prague.cz/;kpgs.ru/;un.cgu.chel.su/;easyschool.ru;med-stud.narod.ru/;students.nino.ru;allianceau.com;sql.ipps.ru;academout.ru;socioego.ru;curator.ru;hr-zone.net;ito.su/;skags.ru;1vm.ru;msfu.net.ru;law-students.net;lib.socio.msu.ru/l/library;ec-logistics.ru;books.mesi.ru/;moscow-expert.ru;lib.unn.ru/php/catalog.php;repetitor.org;maiforum.ru;obs.spb.ru;ibl.ru;vuzispb.chat.ru/index.htm;uhss.spb.ru;sutd.ru;domme.ru/;konto-spb.ru;mat-mex.spb.ru;anichkov.ru;mhts.ru;pms.ru;eurekanet.ru;school.mipt.ru;vipdiplom.ru;preps.mipt.ru;ffl.msu.ru;gitis.net;nihongo.aikidoka.ru/;disser.biz;studyabroad.ru;zsu.zp.ua;novsu.ac.ru;lang.ru;universities.ru;ncstu.ru;trizland.com;kubstu.ru;jlpt.narod.ru;kubsu.ru;inion.ru;fluent-english.ru;ssau.ru;teencity.ru/;link.msk.ru;tspu.tula.ru:8080/;statut.ru/;pfu.edu.ru/ido/;gcon.pstu.ac.ru/pedsovet/index.htm;setbook.ru;cbsystems.narod.ru;msuc.edu.ru;ipk.admin.tstu.ru;magistr-mba.ru;business-idea.ru;akipkro.ru;avtoclass.ru/;psyinfo.ru;pensii.net;forum.miigaik.net;elibrus.1gb.ru;itec.com.ru;diser.biz;gsib.ru;jerry.nnov.ru;mmt-dl.ru;3dland.ru/;domashek.net;rea.ru/cde/;afsb.msk.ru;mclog.ru;tpu.ru;library.nstu.nsk.su;msun.ru;educenter.ru;usue.ru/;kai.ru;tqdk.gov.az;orator.ru;sunnyplus.ru;gaudeamus.ru/;ime-link.ru/
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
